TN,FP,FN,TP,Round,SamplerAndClassifer,Precision,Recall,F05,F1,F2,Precision0,Recall0,F05_anti,F1_anti,F2_anti,AUC,AUC0,Accuracy
42,138,87,724,992,ADASYN_GradientBoostingClassifier,0.839907192575406,0.8927250308261405,0.849964780464898,0.8655110579796772,0.8816366293229422,0.32558139534883723,0.23333333333333334,0.30172413793103453,0.2718446601941748,0.24734982332155478,0.5630291820797368,0.43697081792026304,0.7729566094853683
4,176,7,804,992,ADASYN_GaussianNB,0.8204081632653061,0.9913686806411838,0.8497146480659479,0.897822445561139,0.9517045454545455,0.36363636363636365,0.022222222222222223,0.08928571428571429,0.041884816753926704,0.02735978112175103,0.506795451431703,0.493204548568297,0.8153380423814329
48,132,137,674,992,RandomUnderSampler_RandomForestClassifier,0.8362282878411911,0.8310727496917386,0.8351920693928129,0.8336425479282622,0.8320987654320988,0.2594594594594595,0.26666666666666666,0.2608695652173913,0.263013698630137,0.26519337016574585,0.5488697081792027,0.45113029182079734,0.7285570131180625
65,115,200,611,992,RandomUnderSampler_DecisionTreeClassifier,0.8415977961432507,0.7533908754623921,0.8223418573351279,0.7950553025374105,0.7695214105793451,0.24528301886792453,0.3611111111111111,0.2620967741935484,0.29213483146067415,0.3299492385786802,0.5572509932867517,0.44274900671324835,0.6821392532795156
40,140,89,722,992,RandomUnderSampler_GradientBoostingClassifier,0.8375870069605569,0.8902589395807645,0.8476168114580889,0.8631201434548715,0.879201169020945,0.31007751937984496,0.2222222222222222,0.28735632183908044,0.2588996763754045,0.23557126030624265,0.5562405809014934,0.44375941909850664,0.768920282542886
3,177,2,809,992,RandomUnderSampler_GaussianNB,0.8204868154158215,0.9975339087546239,0.8506834910620399,0.9003895381190874,0.9562647754137115,0.6,0.016666666666666666,0.07500000000000001,0.032432432432432434,0.020689655172413796,0.5071002877106453,0.4928997122893547,0.8193743693239153
14,166,29,782,992,OneSidedSelection_RandomForestClassifier,0.8248945147679325,0.9642416769420469,0.8494460134694765,0.8891415577032404,0.9327290076335878,0.32558139534883723,0.07777777777777778,0.19886363636363638,0.12556053811659193,0.09174311926605506,0.5210097273599122,0.4789902726400877,0.8032290615539859
83,97,257,554,992,OneSidedSelection_DecisionTreeClassifier,0.8509984639016898,0.6831072749691739,0.8111273792093704,0.7578659370725035,0.711168164313222,0.24411764705882352,0.46111111111111114,0.2694805194805195,0.3192307692307692,0.3915094339622642,0.5721091930401425,0.4278908069598575,0.6427850655903128
78,102,208,603,992,OneSidedSelection_GradientBoostingClassifier,0.8553191489361702,0.7435265104808878,0.8303497659047094,0.7955145118733509,0.7634844264370726,0.2727272727272727,0.43333333333333335,0.29456193353474325,0.33476394849785407,0.38767395626242546,0.5884299219071105,0.4115700780928894,0.6871846619576185
4,176,8,803,992,OneSidedSelection_GaussianNB,0.8202247191011236,0.9901356350184957,0.8493759255341654,0.8972067039106146,0.9507459152261424,0.3333333333333333,0.022222222222222223,0.08771929824561403,0.04166666666666667,0.027322404371584702,0.506178928620359,0.49382107137964104,0.8143289606458123
31,149,71,740,992,NeighbourhoodCleaningRule_RandomForestClassifier,0.8323959505061868,0.9124537607891492,0.8472635676665905,0.8705882352941178,0.8952334865714977,0.30392156862745096,0.17222222222222222,0.2636054421768707,0.2198581560283688,0.18856447688564476,0.5423379915056857,0.45766200849431427,0.7780020181634713
